0	1
1	0
2	0
3	6
4	34
5	60
6	80
7	128
8	156
9	224
10	260
11	368
12	418
13	480
14	558
15	665
16	782
17	862
18	786
19	992
20	912
21	988
22	1022
23	976
24	1076
25	1054
26	886
27	838
28	956
29	919
30	802
31	800
32	1305
33	2
34	633
35	592
36	1044
37	1
38	528
39	556
40	992
41	5
42	473
43	454
44	1033
45	2
46	530
47	439
48	1035
49	0
50	465
51	549
52	1087
53	5
54	548
55	531
56	1193
57	2
58	613
59	676
60	1468
61	8
62	788
63	1043
64	868
65	1847
66	14
67	951
68	866
69	932
70	805
71	919
72	851
73	1723
74	15
75	731
76	803
77	746
78	681
79	784
80	728
81	1429
82	18
83	815
84	695
85	758
86	819
87	844
88	866
89	1811
90	19
91	996
92	1150
93	960
94	1033
95	990
96	1147
97	1875
98	45
99	1117
100	966
101	972
102	916
103	905
104	883
105	1644
106	78
107	811
108	958
109	826
110	911
111	824
112	1016
113	1741
114	138
115	1054
116	976
117	951
118	973
119	898
120	1111
121	1846
122	269
123	1184
124	1290
125	1377
126	1451
127	1563
128	1631
129	1786
130	2068
131	3584
132	1785
133	5129
134	5337
135	5652
136	7648
137	6960
138	7053
139	5569
140	3939
141	3363
142	2437
143	1849
144	1657
145	1249
146	1232
147	1649
148	434
149	1027
150	814
151	774
152	837
153	751
154	603
155	604
156	605
157	600
158	589
159	523
160	483
161	446
162	389
163	666
164	88
165	366
166	335
167	348
168	290
169	351
170	275
171	294
172	307
173	304
174	314
175	277
176	366
177	350
178	284
179	673
180	29
181	378
182	338
183	365
184	469
185	422
186	389
187	384
188	370
189	398
190	348
191	365
192	434
193	372
194	308
195	790
196	13
197	398
198	408
199	391
200	415
201	462
202	403
203	465
204	477
205	402
206	341
207	350
208	318
209	232
210	164
211	362
212	7
213	153
214	162
215	79
216	77
217	99
218	56
219	72
220	53
221	49
222	33
223	34
224	29
225	39
226	13
227	14
228	2
229	3
230	6
231	5
232	2
233	3
234	1
235	5
236	3
237	0
238	6
239	2
240	3
241	3
242	4
243	1
244	2
245	2
246	2
247	1
248	1
249	1
250	1
251	0
252	1
253	1
254	0
255	2
